"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"P83870"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.350712991542604	0.394621153273863	-0.888733380440995	13	0.390294994426682	0.704165733400181
"P83882"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0970874571452542	0.22212095956359	0.437092732428339	14	0.668710752784704	0.868775554584245
"P83887"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0760579370827086	0.266332803724966	-0.28557479972032	12	0.780073304603253	0.924298912702814
"P83940"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.196924548522479	0.162725611199833	-1.21016321321816	68	0.230406210942383	0.549550996632641
"P84075"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.194201669330541	0.266069252999302	-0.729891436689419	49	0.468931698095274	0.765714140527424
"P84084"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.904229549155848	0.372248970281479	2.42909885948673	29	0.0215642114733119	0.150425653313832
"P84086"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0641654710322378	0.0765977081106362	0.837694398630811	124	0.403814075806214	0.714538245144556
"P84089"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.128726246028072	0.123097858391505	1.04572287211257	35	0.302857645373442	0.621959145385507
"P84091"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.108165808965039	0.0852007017361736	1.26954129204214	251	0.205423883973058	0.521384704093897
"P84096"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0805072407781993	0.143139441797664	-0.56243925340998	101	0.575063010857781	0.826325884528542
"P84099"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0457639628438138	0.178905349110944	0.255799857697012	46	0.799245814436253	0.929845062980192
"P84104"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.201486201064972	0.102844171101343	-1.95914069710794	18	0.0657716670188373	0.279124586880435
"P84228"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.816169268425817	0.882442279298504	-0.924898191726069	14	0.370687241393798	0.686030200774987
"P84244"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.292676294833815	1.47897174132111	0.197891742388788	15	0.845786628766658	0.945985304358943
"P85094"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0387096010270539	0.0793200350180386	-0.488017951810671	36	0.628496376969195	0.850667130807481
"P97300"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.176806428243552	0.0577997735112115	-3.05894673115382	72	0.00311834898940733	0.0519122252053026
"P97315"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.21135492919784	0.108367828514749	1.95034755327846	158	0.052904404911883	0.249934937817457
"P97350"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0903994711070746	0.446605844491521	0.202414438194373	14	0.84250475737433	0.944692813523268
"P97351"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0174709932860552	0.117981043326802	-0.148083054645155	172	0.882450679882509	0.958979830613411
"P97352"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.33591636294787	0.21226567668283	-1.58252793479089	32	0.123363837311944	0.39767238856591
"P97355"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.349341143347187	0.109883901725966	3.17918401021462	46	0.00264203260522278	0.047173286826931
"P97364"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.166367275347174	0.660722610388788	-0.251795946939486	8	0.807546600262266	0.934325294300666
"P97370"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.280523991317358	0.109593307093081	2.55968177946395	122	0.0116978225160262	0.107460089965893
"P97371"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0912047514247258	0.19019844573431	-0.479524167890049	54	0.633502236806505	0.852017772057512
